Code	Description	Class1	Class2	Class3
b2...	THIAZIDE DIURETICS	thiazide_diuretic		
b21 a.	*URIZIDE 5mg tablets	thiazide_diuretic		
b21 b.	NEO-NACLEX 2.5mg tablets	thiazide_diuretic		
b21..	BENDROFLUMETHIAZIDE	thiazide_diuretic		
b211.	BENDROFLUMETHIAZIDE 2.5mg tablets	thiazide_diuretic		
b212.	BENDROFLUMETHIAZIDE 5mg tablets	thiazide_diuretic		
b213.	APRINOX 2.5mg tablets	thiazide_diuretic		
b214.	APRINOX 5mg tablets	thiazide_diuretic		
b215.	*BERKOZIDE 2.5mg tablets	thiazide_diuretic		
b216.	*BERKOZIDE 5mg tablets	thiazide_diuretic		
b217.	*CENTYL 2.5mg tablets	thiazide_diuretic		
b218.	*CENTYL 5mg tablets	thiazide_diuretic		
b219.	NEO-NACLEX 5mg tablets	thiazide_diuretic		
b21A.	*NEO-BENDROMAX 2.5mg tablets	thiazide_diuretic		
b21B.	*NEO-BENDROMAX 5mg tablets	thiazide_diuretic		
b22 y.	CHLOROTHIAZIDE 250mg/5mL oral suspension	thiazide_diuretic		
b22 z.	*CHLOROTHIAZIDE 500mg tablets	thiazide_diuretic		
b22..	CHLOROTHIAZIDE	thiazide_diuretic		
b221.	*SALURIC 500mg tablets	thiazide_diuretic		
b222.	DIURIL 250mg/5mL oral suspension	thiazide_diuretic		
b23 y.	CHLORTALIDONE 50mg tablets	thiazide_diuretic		
b23 z.	*CHLORTHALIDONE 100mg tablets	thiazide_diuretic		
b23..	CHLORTALIDONE	thiazide_diuretic		
b231.	HYGROTON 50mg tablets	thiazide_diuretic		
b232.	*HYGROTON 100mg tablets	thiazide_diuretic		
b24..	CLOPAMIDE [INGREDIENT see bdek]	thiazide_diuretic		
b25 z.	CYCLOPENTHIAZIDE 500microgram tablets	thiazide_diuretic		
b25..	CYCLOPENTHIAZIDE	thiazide_diuretic		
b251.	NAVIDREX 500micrograms tablets	thiazide_diuretic		
b26 y.	HYDROCHLOROTHIAZIDE 50mg tablets	thiazide_diuretic		
b26 z.	HYDROCHLOROTHIAZIDE 25mg tablets	thiazide_diuretic		
b26..	HYDROCHLOROTHIAZIDE	thiazide_diuretic		
b261.	*ESIDREX 25mg tablets	thiazide_diuretic		
b262.	*ESIDREX 50mg tablets	thiazide_diuretic		
